authors	year	document_type	open_access	source_title	language	addresses	affiliations	source	Type of Paper 	Relevant to the manuscript?	Why (if not)	If other please describe 
Kroll M.L.; Rodriguez B.A.; Edie A.C.; Phelps K.L.; Hamilton D.E.; Randell S.M.; Lockwood S.A.	2018	Article	NA	Texas Journal of Science	English	Kroll M.L. Texas Tech University at Waco Higher Education Site Waco 76712 TX United States; Rodriguez B.A. Texas Tech University at Waco Higher Education Site Waco 76712 TX United States; Edie A.C. Texas Tech University at Waco Higher Education Site Waco 76712 TX United States; Phelps K.L. EcoHealth Alliance New York 10001 NY United States; Hamilton D.E. University of North Texas-Dallas Dallas 75241 TX United States; Randell S.M. McLennan Community College Waco 76708 TX United States; Lockwood S.A. Texas Tech University at Waco Higher Education Site Waco 76712 TX United States	Texas Tech University at Waco Higher Education Site Waco 76712 TX United States; EcoHealth Alliance New York 10001 NY United States; University of North Texas-Dallas Dallas 75241 TX United States; McLennan Community College Waco 76708 TX United States	Scopus	Basic/descriptive science	Yes - focus relates to manuscript	n/a	
González-Barrios F.J.; Álvarez-Filip L.	2018	Article	NA	Ecological Indicators	English	González-Barrios F.J. Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Puerto Morelos Mexico Departamento de Ecología Marina Centro de Investigación Científica de Educación Superior de Ensenada Ensenada Mexico; Álvarez-Filip L. Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Puerto Morelos Mexico	Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Puerto Morelos Mexico; Departamento de Ecología Marina Centro de Investigación Científica de Educación Superior de Ensenada Ensenada Mexico	Scopus	Basic/descriptive science	Yes - focus relates to manuscript	n/a	
Delevaux J.M.S.; Silver J.M.; Winder S.G.; Bood N.; Chevez L.; Velásquez P.; Calzada Vázquez Vela A.; Barlett R.; Porta M.A.; Wolny S.A.; Bailey A.; McField M.; Muñiz-Castillo A.I.; Arkema K.K.	2024	Article	All Open Access; Green Open Access	Nature Sustainability	English	Delevaux J.M.S. The Natural Capital Project Stanford University Stanford CA United States Seascape Solutions LLC Mililani HI United States; Silver J.M. The Natural Capital Project Stanford University Stanford CA United States; Winder S.G. Outdoor Recreation and Data Lab University of Washington Seattle WA United States; Bood N. World Wildlife Fund-Mesoamerica Belize City Belize; Chevez L. World Wildlife Fund-Mesoamerica Belize City Belize World Wildlife Fund-Mesoamerica La Ceiba Honduras; Velásquez P. World Wildlife Fund-Mesoamerica Ciudad de Guatemala Guatemala; Calzada Vázquez Vela A. World Wildlife Fund Ciudad de México Mexico; Barlett R. World Wildlife Fund Washington DC United States; Porta M.A. World Wildlife Fund-Mesoamerica Ciudad de Guatemala Guatemala; Wolny S.A. The Natural Capital Project Stanford University Stanford CA United States; Bailey A. The Natural Capital Project Stanford University Stanford CA United States Sound GIS Seattle WA United States; McField M. Healthy Reefs for Healthy People Fort Lauderdale FL United States; Muñiz-Castillo A.I. Healthy Reefs for Healthy People Puerto Morelos Mexico; Arkema K.K. The Natural Capital Project Stanford University Stanford CA United States Pacific Northwest National Laboratory Seattle WA United States School of Marine and Environmental Affairs University of Washington Seattle WA United States	The Natural Capital Project Stanford University Stanford CA United States; Seascape Solutions LLC Mililani HI United States; Outdoor Recreation and Data Lab University of Washington Seattle WA United States; World Wildlife Fund-Mesoamerica Belize City Belize; World Wildlife Fund-Mesoamerica La Ceiba Honduras; World Wildlife Fund-Mesoamerica Ciudad de Guatemala Guatemala; World Wildlife Fund Ciudad de México Mexico; World Wildlife Fund Washington DC United States; Sound GIS Seattle WA United States; Healthy Reefs for Healthy People Fort Lauderdale FL United States; Healthy Reefs for Healthy People Puerto Morelos Mexico; Pacific Northwest National Laboratory Seattle WA United States; School of Marine and Environmental Affairs University of Washington Seattle WA United States	Scopus	Applied science 	Yes - focus relates to manuscript	n/a	
Hernández-Alcántara P.; Cruz-Pérez I.N.; Solís-Weiss V.	2019	Article	NA	Journal of the Marine Biological Association of the United Kingdom	English	Hernández-Alcántara P. Unidad Académica de Ecología y Biodiversidad Acuática Instituto de Ciencias Del Mar y Limnología Universidad Nacional Autónoma de México Cd. Universitaria Circuito Exterior S/N Ciudad de México 04510 Mexico; Cruz-Pérez I.N. Facultad de Estudios Superiores Zaragoza Universidad Nacional Autónoma de México Batalla 5 de mayo S/N esquina Fuerte de Loreto Colonia-Ejercito de Oriente Ciudad de Mexico C.P. 09230 Mexico; Solís-Weiss V. Unidad Académica de Sistemas Arrecifales Instituto de Ciencias Del Mar y Limnología Universidad Nacional Autónoma de México Prol. Av. Niños Héroes s/n Puerto Morelos Quintana Roo 77580 Mexico	Unidad Académica de Ecología y Biodiversidad Acuática Instituto de Ciencias Del Mar y Limnología Universidad Nacional Autónoma de México Cd. Universitaria Circuito Exterior S/N Ciudad de México 04510 Mexico; Facultad de Estudios Superiores Zaragoza Universidad Nacional Autónoma de México Batalla 5 de mayo S/N esquina Fuerte de Loreto Colonia-Ejercito de Oriente Ciudad de Mexico C.P. 09230 Mexico; Unidad Académica de Sistemas Arrecifales Instituto de Ciencias Del Mar y Limnología Universidad Nacional Autónoma de México Prol. Av. Niños Héroes s/n Puerto Morelos Quintana Roo 77580 Mexico	Scopus				
Andrade H.; Vihtakari M.; Santos J.	2023	Article	All Open Access; Green Open Access; Hybrid Gold Open Access	Journal of Fish Biology	English	Andrade H. Institute of Marine Research Tromsø Norway Faculty for Biosciences Fisheries and Economics Norwegian College of Fishery Science University of Tromsø Tromsø Norway Akvaplan-niva AS Tromsø Norway; Vihtakari M. Institute of Marine Research Tromsø Norway; Santos J. Faculty for Biosciences Fisheries and Economics Norwegian College of Fishery Science University of Tromsø Tromsø Norway	Institute of Marine Research Tromsø Norway; Faculty for Biosciences Fisheries and Economics Norwegian College of Fishery Science University of Tromsø Tromsø Norway; Akvaplan-niva AS Tromsø Norway	Scopus				
Berger M.; Canty S.W.J.; Tuholske C.; Halpern B.S.	2022	Article	All Open Access; Hybrid Gold Open Access	Ocean and Coastal Management	English	Berger M. National Center for Ecological Analysis and Synthesis University of California 1021 Anacapa St Santa Barbara 93101 CA United States; Canty S.W.J. Smithsonian Marine Station 701 Seaway Drive Fort Pierce 34949 FL United States Working Land and Seascapes Conservation Commons Smithsonian Institution Washington 20013 DC United States; Tuholske C. Center for International Earth Science Information Network The Earth Institute Columbia University Palisades 10964 NY United States; Halpern B.S. National Center for Ecological Analysis and Synthesis University of California 1021 Anacapa St Santa Barbara 93101 CA United States Bren School of Environmental Science and Management University of California Santa Barbara 93106 CA United States	National Center for Ecological Analysis and Synthesis University of California 1021 Anacapa St Santa Barbara 93101 CA United States; Smithsonian Marine Station 701 Seaway Drive Fort Pierce 34949 FL United States; Working Land and Seascapes Conservation Commons Smithsonian Institution Washington 20013 DC United States; Center for International Earth Science Information Network The Earth Institute Columbia University Palisades 10964 NY United States; Bren School of Environmental Science and Management University of California Santa Barbara 93106 CA United States	Scopus				
Martínez S.; Carrillo L.; Sosa-Cordero E.; Vásquez-Yeomans L.; Marinone S.G.; Gasca R.	2020	Article	NA	Regional Studies in Marine Science	English	Martínez S. El Colegio de la Frontera Sur Departamento de Sistemática y Ecología Acuática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Carrillo L. El Colegio de la Frontera Sur Departamento de Sistemática y Ecología Acuática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Sosa-Cordero E. El Colegio de la Frontera Sur Departamento de Sistemática y Ecología Acuática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Vásquez-Yeomans L. El Colegio de la Frontera Sur Departamento de Sistemática y Ecología Acuática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Marinone S.G. Departamento de Oceanografia Fisica CICESE Carretera Transpeninsular Ensenada-Tijuana Km 107 Ensenada Baja California Mexico; Gasca R. El Colegio de la Frontera Sur Departamento de Sistemática y Ecología Acuática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico	El Colegio de la Frontera Sur Departamento de Sistemática y Ecología Acuática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Departamento de Oceanografia Fisica CICESE Carretera Transpeninsular Ensenada-Tijuana Km 107 Ensenada Baja California Mexico	Scopus				
Zoppe S.F.; Deveaux M.; Gischler E.	2022	Article	All Open Access; Hybrid Gold Open Access	Geo-Marine Letters	English	Zoppe S.F. Institut für Geowissenschaften Goethe-Universität Frankfurt am Main Altenhöferallee 1 Frankfurt am Main 60438 Germany; Deveaux M. Institut für Kernphysik Goethe-Universität Frankfurt am Main Max-von-Laue-Straße 1 Frankfurt am Main 60438 Germany GSI Helmholtzzentrum für Schwerionenforschung GmbH Planckstraße 1 Darmstadt 64291 Germany; Gischler E. Institut für Geowissenschaften Goethe-Universität Frankfurt am Main Altenhöferallee 1 Frankfurt am Main 60438 Germany	Institut für Geowissenschaften Goethe-Universität Frankfurt am Main Altenhöferallee 1 Frankfurt am Main 60438 Germany; Institut für Kernphysik Goethe-Universität Frankfurt am Main Max-von-Laue-Straße 1 Frankfurt am Main 60438 Germany; GSI Helmholtzzentrum für Schwerionenforschung GmbH Planckstraße 1 Darmstadt 64291 Germany	Scopus				
Carrasco Navas-Parejo J.C.; Papaspyrou S.; Matamoros W.A.; Caviedes V.; Corzo A.	2024	Article	All Open Access; Gold Open Access	Ecological Indicators	English	Carrasco Navas-Parejo J.C. Departamento de Biología Facultad de Ciencias del Mar y Ambientales Universidad de Cádiz Pol. Río San Pedro s/n. 11510 Puerto Real Spain Coastal and Marine Research Los Profesores 1.era. c. Atlántida Tela Honduras; Papaspyrou S. Departamento de Biología Facultad de Ciencias del Mar y Ambientales Universidad de Cádiz Pol. Río San Pedro s/n. 11510 Puerto Real Spain Instituto Universitario de Investigacion Marina (INMAR) Campus Universitario de Puerto Real 11510 Cadiz Spain; Matamoros W.A. Instituto de Ciencias Biológicas Universidad de Ciencias y Artes de Chiapas Libramiento Norte Poniente 1150 Col. Lajas Maciel Chiapas Tuxtla Gutiérrez C.P. 29039 Mexico; Caviedes V. National Autonomous University of Honduras Boulevar Suyapa Tegucigalpa Honduras Departamento de Historia Geografía y Filosofía Facultad de Ciencias del Mar y Ambientales Universidad de Cádiz 11510 Puerto Real Spain; Corzo A. Departamento de Biología Facultad de Ciencias del Mar y Ambientales Universidad de Cádiz Pol. Río San Pedro s/n. 11510 Puerto Real Spain Instituto Universitario de Investigacion Marina (INMAR) Campus Universitario de Puerto Real 11510 Cadiz Spain	Departamento de Biología Facultad de Ciencias del Mar y Ambientales Universidad de Cádiz Pol. Río San Pedro s/n. 11510 Puerto Real Spain; Coastal and Marine Research Los Profesores 1.era. c. Atlántida Tela Honduras; Instituto de Ciencias Biológicas Universidad de Ciencias y Artes de Chiapas Libramiento Norte Poniente 1150 Col. Lajas Maciel Chiapas Tuxtla Gutiérrez C.P. 29039 Mexico; Instituto Universitario de Investigacion Marina (INMAR) Campus Universitario de Puerto Real 11510 Cadiz Spain; National Autonomous University of Honduras Boulevar Suyapa Tegucigalpa Honduras; Departamento de Historia Geografía y Filosofía Facultad de Ciencias del Mar y Ambientales Universidad de Cádiz 11510 Puerto Real Spain	Scopus				
Brandl S.J.; Casey J.M.; Meyer C.P.	2020	Article	NA	Coral Reefs	English	Brandl S.J. Department of Biological Sciences Simon Fraser University Burnaby V5A 1S6 BC Canada Tennenbaum Marine Observatories Network Smithsonian Institution Edgewater 21037 MD United States; Casey J.M. PSL Université Paris: EPHE-UPVD-CNRS USR 3278 CRIOBE Université de Perpignan Perpignan 66860 France Laboratoire d’Excellence “CORAIL” Perpignan France Department of Invertebrate Zoology National Museum of Natural History Smithsonian Institution Washington DC United States; Meyer C.P. Department of Invertebrate Zoology National Museum of Natural History Smithsonian Institution Washington DC United States	Department of Biological Sciences Simon Fraser University Burnaby V5A 1S6 BC Canada; Tennenbaum Marine Observatories Network Smithsonian Institution Edgewater 21037 MD United States; PSL Université Paris: EPHE-UPVD-CNRS USR 3278 CRIOBE Université de Perpignan Perpignan 66860 France; Laboratoire d’Excellence “CORAIL” Perpignan France; Department of Invertebrate Zoology National Museum of Natural History Smithsonian Institution Washington DC United States	Scopus				
Ramos E.A.; Castelblanco-Martínez N.; Collom K.A.; Barragán-Barrera D.C.; Garcés-Cuartas N.; Prezas-Hernández B.; Anderson D.; Jeffords A.; Niño-Torres C.A.; Carey B.; Carey T.	2020	Article	NA	Cahiers de Biologie Marine	English	Ramos E.A. Fundación Internacional para la Naturaleza y la Sustentabilidad Calle Larún Manzana 75 Lote 4 Andara Quintana Roo Chetumal 75014 Mexico The Graduate Center City University of New York 365 Fifth Ave. New York 10013 NY United States; Castelblanco-Martínez N. Fundación Internacional para la Naturaleza y la Sustentabilidad Calle Larún Manzana 75 Lote 4 Andara Quintana Roo Chetumal 75014 Mexico Consejo Nacional de Ciencia y Tecnología Av. Insurgentes Sur 1582 Col. Crédito Constructor Mexico City C.P. 03940 Mexico Universidad de Quintana Roo Departamento de Ciencias e Ingeniería Boulevard Bahía s/n esq. Ignacio Comonfort Col. Del Bosque Quintana Roo Chetumal 77019 Mexico; Collom K.A. Hunter College City University of New York 695 Park Ave New York 10065 NY United States; Barragán-Barrera D.C. Centro de Investigaciones Oceanográficas e Hidrográficas del Caribe-CIOH Dirección General Marítima Escuela Naval de Cadetes “Almirante Padilla” Barrio Bosque Sector Manzanillo Cartagena de Indias Colombia Fundación Macuáticos Colombia Calle 27 No. 79-167 Medellín Colombia Laboratorio de Ecología Molecular de Vertebrados Acuáticos LEMVA Departamento de Ciencias Biológicas Universidad de los Andes Carrera 1E No 18A-12 Laboratorio Bogotá J-202 Colombia; Garcés-Cuartas N. Universidad de Quintana Roo Departamento de Ciencias e Ingeniería Boulevard Bahía s/n esq. Ignacio Comonfort Col. Del Bosque Quintana Roo Chetumal 77019 Mexico; Prezas-Hernández B. Universidad de Quintana Roo Departamento de Ciencias e Ingeniería Boulevard Bahía s/n esq. Ignacio Comonfort Col. Del Bosque Quintana Roo Chetumal 77019 Mexico; Anderson D. Cascadia Research Collective 218 ½ W 4th Ave. Olympia 98501 WA United States; Jeffords A. Fundación Internacional para la Naturaleza y la Sustentabilidad Calle Larún Manzana 75 Lote 4 Andara Quintana Roo Chetumal 75014 Mexico Hello Ocean Maine a project of The Ocean Foundation Washington DC United States; Niño-Torres C.A. Fundación Internacional para la Naturaleza y la Sustentabilidad Calle Larún Manzana 75 Lote 4 Andara Quintana Roo Chetumal 75014 Mexico Universidad de Quintana Roo Departamento de Ciencias e Ingeniería Boulevard Bahía s/n esq. Ignacio Comonfort Col. Del Bosque Quintana Roo Chetumal 77019 Mexico; Carey B. Hello Ocean Maine a project of The Ocean Foundation Washington DC United States; Carey T. Hello Ocean Maine a project of The Ocean Foundation Washington DC United States	Fundación Internacional para la Naturaleza y la Sustentabilidad Calle Larún Manzana 75 Lote 4 Andara Quintana Roo Chetumal 75014 Mexico; The Graduate Center City University of New York 365 Fifth Ave. New York 10013 NY United States; Consejo Nacional de Ciencia y Tecnología Av. Insurgentes Sur 1582 Col. Crédito Constructor Mexico City C.P. 03940 Mexico; Universidad de Quintana Roo Departamento de Ciencias e Ingeniería Boulevard Bahía s/n esq. Ignacio Comonfort Col. Del Bosque Quintana Roo Chetumal 77019 Mexico; Hunter College City University of New York 695 Park Ave New York 10065 NY United States; Centro de Investigaciones Oceanográficas e Hidrográficas del Caribe-CIOH Dirección General Marítima Escuela Naval de Cadetes “Almirante Padilla” Barrio Bosque Sector Manzanillo Cartagena de Indias Colombia; Fundación Macuáticos Colombia Calle 27 No. 79-167 Medellín Colombia; Laboratorio de Ecología Molecular de Vertebrados Acuáticos LEMVA Departamento de Ciencias Biológicas Universidad de los Andes Carrera 1E No 18A-12 Laboratorio Bogotá J-202 Colombia; Cascadia Research Collective 218 ½ W 4th Ave. Olympia 98501 WA United States; Hello Ocean Maine a project of The Ocean Foundation Washington DC United States	Scopus				
Randazzo A.M.; Montero J.L.; McField M.; Myton J.; González J.E.A.	2019	Article	All Open Access; Gold Open Access	Frontiers in Marine Science	English	Randazzo A.M. Laboratorio de Ecología de Ecosistemas de Arrecifes Coralinos Centro de Investigacion y de Estudios Avanzados - Unidad Mérida Mexico; Montero J.L. Laboratorio de Ecología de Ecosistemas de Arrecifes Coralinos Centro de Investigacion y de Estudios Avanzados - Unidad Mérida Mexico; McField M. Smithsonian Institution Healthy Reefs Initiative United States; Myton J. Coral Reef Alliance United States; González J.E.A. Laboratorio de Ecología de Ecosistemas de Arrecifes Coralinos Centro de Investigacion y de Estudios Avanzados - Unidad Mérida Mexico	Laboratorio de Ecología de Ecosistemas de Arrecifes Coralinos Centro de Investigacion y de Estudios Avanzados - Unidad Mérida Mexico; Smithsonian Institution Healthy Reefs Initiative United States; Coral Reef Alliance United States	Scopus				
Reguero B.G.; Secaira F.; Toimil A.; Escudero M.; Díaz-Simal P.; Beck M.W.; Silva R.; Storlazzi C.; Losada I.J.	2019	Article	All Open Access; Gold Open Access; Green Open Access	Frontiers in Earth Science	English	Reguero B.G. Institute of Marine Sciences University of California Santa Cruz Santa Cruz CA United States; Secaira F. The Nature Conservancy Mérida Mexico; Toimil A. Environmental Hydraulics Institute “IHCantabria” Universidad de Cantabria Santander Spain; Escudero M. Instituto de Ingeniería Universidad Nacional Autónoma de México Mexico City Mexico; Díaz-Simal P. Environmental Hydraulics Institute “IHCantabria” Universidad de Cantabria Santander Spain; Beck M.W. Institute of Marine Sciences University of California Santa Cruz Santa Cruz CA United States The Nature Conservancy Mérida Mexico; Silva R. Instituto de Ingeniería Universidad Nacional Autónoma de México Mexico City Mexico; Storlazzi C. United States Geological Survey Pacific Center Santa Cruz CA United States; Losada I.J. Environmental Hydraulics Institute “IHCantabria” Universidad de Cantabria Santander Spain	Institute of Marine Sciences University of California Santa Cruz Santa Cruz CA United States; The Nature Conservancy Mérida Mexico; Environmental Hydraulics Institute “IHCantabria” Universidad de Cantabria Santander Spain; Instituto de Ingeniería Universidad Nacional Autónoma de México Mexico City Mexico; United States Geological Survey Pacific Center Santa Cruz CA United States	Scopus				
Ramírez-Ruiz C.I.; Schmitter-Soto J.J.; Díaz-Osorio A.C.	2023	Article	NA	Environmental Biology of Fishes	English	Ramírez-Ruiz C.I. Departamento de Sistemática y Ecología Acuática El Colegio de la Frontera Sur (ECOSUR) Quintana Roo Chetumal Mexico; Schmitter-Soto J.J. Departamento de Sistemática y Ecología Acuática El Colegio de la Frontera Sur (ECOSUR) Quintana Roo Chetumal Mexico; Díaz-Osorio A.C. Departamento de Sistemática y Ecología Acuática El Colegio de la Frontera Sur (ECOSUR) Quintana Roo Chetumal Mexico	Departamento de Sistemática y Ecología Acuática El Colegio de la Frontera Sur (ECOSUR) Quintana Roo Chetumal Mexico	Scopus				
Platt N.H.; Wright V.P.	2023	Article	All Open Access; Gold Open Access	Depositional Record	English	Platt N.H. Edison E&P UK Limited (now Energean UK Limited) London United Kingdom; Wright V.P. Natural Sciences National Museum Wales Cardiff United Kingdom	Edison E&P UK Limited (now Energean UK Limited) London United Kingdom; Natural Sciences National Museum Wales Cardiff United Kingdom	Scopus				
Helmuth B.; Leichter J.J.; Rotjan R.D.; Castillo K.D.; Fieseler C.; Jones S.; Choi F.	2020	Data paper	All Open Access; Gold Open Access; Green Open Access	Scientific Data	English	Helmuth B. Marine Science Center Northeastern University Nahant 01908-1557 MA United States; Leichter J.J. Scripps Institution of Oceanography University of California San Diego La Jolla 92093-0227 CA United States; Rotjan R.D. Department of Biology Boston University Boston 02215-4775 MA United States; Castillo K.D. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill 27599-3300 NC United States; Fieseler C. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill 27599-3300 NC United States Science Technology & International Affairs School of Foreign Service Georgetown University Washington 20011 DC United States; Jones S. Smithsonian Marine Station Fort Pierce 34949 FL United States; Choi F. Marine Science Center Northeastern University Nahant 01908-1557 MA United States	Marine Science Center Northeastern University Nahant 01908-1557 MA United States; Scripps Institution of Oceanography University of California San Diego La Jolla 92093-0227 CA United States; Department of Biology Boston University Boston 02215-4775 MA United States; Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill 27599-3300 NC United States; Science Technology & International Affairs School of Foreign Service Georgetown University Washington 20011 DC United States; Smithsonian Marine Station Fort Pierce 34949 FL United States	Scopus				
Labastida-Estrada E.; Machkour-M’Rabet S.; Carrillo L.; Hénaut Y.; Castelblanco-Martínez D.N.	2019	Article	All Open Access; Gold Open Access; Green Open Access	PLoS ONE	English	Labastida-Estrada E. Laboratorio de Ecología Molecular y Conservación Departamento de Conservación de la Biodiversidad El Colegio de la Frontera Sur Chetumal Quintana Roo Mexico; Machkour-M’Rabet S. Laboratorio de Ecología Molecular y Conservación Departamento de Conservación de la Biodiversidad El Colegio de la Frontera Sur Chetumal Quintana Roo Mexico; Carrillo L. Departamento de Sistemática y Ecología Acuática El Colegio de la Frontera Sur Chetumal Quintana Roo Mexico; Hénaut Y. Laboratorio de Conducta Animal El Colegio de la Frontera Sur Chetumal Quintana Roo Mexico; Castelblanco-Martínez D.N. Consejo Nacional de Ciencia y Tecnología / Universidad de Quintana Roo Chetumal Quintana Roo Mexico	Laboratorio de Ecología Molecular y Conservación Departamento de Conservación de la Biodiversidad El Colegio de la Frontera Sur Chetumal Quintana Roo Mexico; Departamento de Sistemática y Ecología Acuática El Colegio de la Frontera Sur Chetumal Quintana Roo Mexico; Laboratorio de Conducta Animal El Colegio de la Frontera Sur Chetumal Quintana Roo Mexico; Consejo Nacional de Ciencia y Tecnología / Universidad de Quintana Roo Chetumal Quintana Roo Mexico	Scopus				
González-Salas C.; Pérez-España H.; Guillén-Hernández S.; Barrera-Guzmán A.; Pech-Puch D.; Díaz-Gamboa R.; Villegas-Hernández H.	2021	Article	NA	Regional Studies in Marine Science	English	González-Salas C. Departamento de Biología Marina Universidad Autónoma de Yucatán Km. 15.5 carretera Mérida-Xmatkuil A.P. 4-116 Itzimná C.P. 97100 Mérida Yucatán Mexico; Pérez-España H. Instituto de Ciencias Marinas y Pesquerías Universidad Veracruzana Calle Hidalgo No. 617 C.P. 94000. Boca del Río Ver. Mexico; Guillén-Hernández S. Departamento de Biología Marina Universidad Autónoma de Yucatán Km. 15.5 carretera Mérida-Xmatkuil A.P. 4-116 Itzimná C.P. 97100 Mérida Yucatán Mexico; Barrera-Guzmán A. Departamento de Biología Marina Universidad Autónoma de Yucatán Km. 15.5 carretera Mérida-Xmatkuil A.P. 4-116 Itzimná C.P. 97100 Mérida Yucatán Mexico; Pech-Puch D. Departamento de Biología Marina Universidad Autónoma de Yucatán Km. 15.5 carretera Mérida-Xmatkuil A.P. 4-116 Itzimná C.P. 97100 Mérida Yucatán Mexico; Díaz-Gamboa R. Departamento de Biología Marina Universidad Autónoma de Yucatán Km. 15.5 carretera Mérida-Xmatkuil A.P. 4-116 Itzimná C.P. 97100 Mérida Yucatán Mexico; Villegas-Hernández H. Departamento de Biología Marina Universidad Autónoma de Yucatán Km. 15.5 carretera Mérida-Xmatkuil A.P. 4-116 Itzimná C.P. 97100 Mérida Yucatán Mexico	Departamento de Biología Marina Universidad Autónoma de Yucatán Km. 15.5 carretera Mérida-Xmatkuil A.P. 4-116 Itzimná C.P. 97100 Mérida Yucatán Mexico; Instituto de Ciencias Marinas y Pesquerías Universidad Veracruzana Calle Hidalgo No. 617 C.P. 94000. Boca del Río Ver. Mexico	Scopus				
Kjerfve B.; McField M.; Thattai D.; Giró A.	2021	Article	All Open Access; Bronze Open Access	Marine Pollution Bulletin	English	Kjerfve B. School of the Earth Ocean and Environment University of South Carolina Columbia SC United States; McField M. Healthy Reefs Initiative Smithsonian Institution Fort Pierce FL United States; Thattai D. Independent Researcher Chennai Tamil Nadu India; Giró A. Healthy Reefs Initiative Guatemala City Guatemala	School of the Earth Ocean and Environment University of South Carolina Columbia SC United States; Healthy Reefs Initiative Smithsonian Institution Fort Pierce FL United States; Independent Researcher Chennai Tamil Nadu India; Healthy Reefs Initiative Guatemala City Guatemala	Scopus				
Alvarez-Filip L.; González-Barrios F.J.; Pérez-Cervantes E.; Molina-Hernández A.; Estrada-Saldívar N.	2022	Article	All Open Access; Gold Open Access; Green Open Access	Communications Biology	English	Alvarez-Filip L. Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Quintana Roo Puerto Morelos Mexico; González-Barrios F.J. Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Quintana Roo Puerto Morelos Mexico; Pérez-Cervantes E. Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Quintana Roo Puerto Morelos Mexico; Molina-Hernández A. Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Quintana Roo Puerto Morelos Mexico; Estrada-Saldívar N. Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Quintana Roo Puerto Morelos Mexico	Biodiversity and Reef Conservation Laboratory Unidad Académica de Sistemas Arrecifales Instituto de Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Quintana Roo Puerto Morelos Mexico	Scopus				
Speare L.; Davies S.W.; Balmonte J.P.; Baumann J.; Castillo K.D.	2020	Article	All Open Access; Bronze Open Access; Green Open Access	Molecular Ecology	English	Speare L. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States; Davies S.W. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States Department of Biology Boston University Boston MA United States; Balmonte J.P. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States Department of Ecology and Genetics – Limnology Uppsala University Uppsala Sweden; Baumann J. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States Department of Biology University of North Carolina at Chapel Hill Chapel Hill NC United States; Castillo K.D. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States Environment Ecology and Energy Program University of North Carolina at Chapel Hill Chapel Hill NC United States	Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States; Department of Biology Boston University Boston MA United States; Department of Ecology and Genetics – Limnology Uppsala University Uppsala Sweden; Department of Biology University of North Carolina at Chapel Hill Chapel Hill NC United States; Environment Ecology and Energy Program University of North Carolina at Chapel Hill Chapel Hill NC United States	Scopus				
